age,annual_income_inr,debt_to_income,credit_utilization,late_payments_12m,accounts_open,loan_amount_inr,employment_length_years,has_mortgage,is_self_employed,region,payment_history_score,default
55,377549,0.261,0.487,1,11,543718,17,1,0,North,0.771,0
34,476938,0.401,0.13,0,5,172960,13,1,0,South,0.731,0
59,650212,0.546,0.685,2,4,187647,10,0,1,South,0.893,0
48,506621,0.129,0.361,1,11,473067,6,0,0,West,0.795,0
43,721325,0.474,0.693,1,1,360005,15,1,0,East,0.401,0
45,730710,0.159,0.24,1,6,364514,21,0,1,East,0.643,0
48,822245,0.398,0.566,0,3,347334,28,0,0,West,0.719,0
22,955889,0.133,0.581,2,7,289874,16,0,0,North,0.637,0
27,848964,0.074,0.607,1,11,500518,5,0,1,South,0.876,0
33,366440,0.141,0.553,1,1,577710,16,0,1,South,0.767,0
26,374116,0.193,0.565,0,4,94044,27,0,0,Central,0.414,0
42,581057,0.443,0.542,2,1,477424,13,0,0,South,0.644,0
53,487206,0.254,0.305,2,10,291217,24,0,0,South,0.703,0
53,315418,0.491,0.16,1,2,42810,24,1,1,Central,0.579,0
44,489577,0.237,0.148,0,10,115138,11,1,0,West,0.801,0
62,481371,0.215,0.779,2,4,218105,22,0,1,West,0.782,1
48,432038,0.565,0.256,0,1,511629,26,1,1,North,0.757,1
24,521052,0.094,0.251,0,6,93159,4,1,0,South,0.809,0
58,894612,0.309,0.991,0,9,10000,22,1,1,North,0.9,0
49,649809,0.172,0.628,0,3,247038,14,0,1,West,0.824,0
52,1217952,0.368,0.815,0,6,204517,28,1,0,Central,0.821,0
48,642627,0.572,0.6,1,5,514126,27,0,0,East,0.697,0
48,527483,0.407,0.094,2,7,351383,15,0,0,West,0.613,0
25,601033,0.219,0.054,2,3,442492,19,1,0,South,1.0,0
48,664122,0.095,0.745,0,5,221320,21,1,0,North,0.762,0
59,708813,0.309,0.203,3,10,56460,8,0,1,West,0.555,0
35,1119177,0.545,0.432,1,2,562433,10,1,1,West,0.688,1
50,388669,0.285,0.49,1,3,182034,21,1,1,West,0.648,0
22,814761,0.26,0.703,1,2,429480,11,1,0,South,0.824,0
38,651937,0.302,0.5,0,5,226393,3,1,0,Central,0.653,0
42,207225,0.6,0.26,1,1,431519,5,1,1,South,0.469,1
69,792674,0.098,0.317,0,1,360406,9,1,1,South,0.788,0
31,916905,0.511,0.124,0,3,325629,17,0,0,South,0.62,0
34,385705,0.677,0.875,1,9,382655,19,1,0,South,0.354,1
41,597766,0.734,0.544,3,8,251785,0,1,0,South,0.836,0
69,168661,0.382,0.097,3,7,10000,7,1,1,East,0.503,0
62,285298,0.199,0.628,1,4,357779,27,0,1,Central,0.552,0
22,862007,0.561,0.398,0,11,529091,5,0,1,Central,0.712,1
32,483395,0.217,0.901,1,5,291131,9,0,1,South,0.721,0
61,322799,0.024,0.713,1,7,237287,19,0,0,North,0.619,1
23,657365,0.385,0.339,0,7,352222,18,1,0,South,0.755,0
62,469396,0.267,0.598,0,11,495847,28,1,1,South,0.826,0
34,482294,0.755,0.297,1,7,243789,29,0,0,East,0.562,0
65,784831,0.156,0.703,2,5,10000,10,1,1,South,0.711,0
35,309566,0.189,0.594,0,10,331589,12,1,1,North,0.72,0
42,373658,0.723,0.25,0,8,372916,7,0,1,North,0.879,0
53,638519,0.283,0.826,0,4,334822,2,0,0,West,0.732,0
27,842352,0.421,0.411,0,1,201078,24,0,0,West,0.423,0
48,909540,0.557,0.244,1,9,366890,11,1,0,West,1.0,0
45,433734,0.182,0.477,0,9,253834,20,1,0,North,0.716,1
59,834344,0.429,0.08,2,4,212572,29,1,1,South,0.737,0
69,403964,0.274,0.49,2,7,242848,17,0,1,Central,0.683,0
53,1056552,0.341,0.273,0,8,334606,28,0,0,Central,0.74,0
41,316557,0.507,0.544,0,9,356161,13,1,0,Central,0.762,0
40,932119,0.319,0.266,1,11,197263,20,0,1,West,0.814,0
41,435878,0.46,0.643,1,7,339809,19,0,1,East,0.675,0
60,1103311,0.423,0.215,2,4,376368,20,0,0,West,0.34,0
36,747830,0.338,0.415,1,5,411482,29,0,0,Central,0.632,0
29,345995,0.227,0.934,3,6,396374,14,0,1,East,0.666,1
37,469440,0.373,0.548,1,3,560536,16,0,1,North,0.595,0
22,795295,0.323,0.374,0,3,437237,15,0,0,North,0.535,0
26,863161,0.304,0.21,3,3,700834,23,1,1,East,0.626,0
25,582321,0.462,0.385,0,6,506305,16,0,1,East,0.826,0
58,611164,0.442,0.75,0,5,499943,5,1,0,South,0.745,0
56,789588,0.317,0.703,0,6,54738,11,0,1,North,0.494,0
55,632949,0.186,0.918,1,1,451262,0,1,0,South,0.434,0
43,276623,0.311,0.292,0,9,470212,24,1,0,Central,0.432,0
56,396756,0.574,0.231,0,10,291157,16,1,0,North,0.734,0
28,658779,0.422,0.674,0,9,10000,27,1,1,West,0.471,0
65,903870,0.572,0.208,0,8,10000,16,1,0,East,0.684,0
45,1003995,0.832,0.775,0,5,244090,25,1,0,North,0.794,0
66,794882,0.332,0.844,1,2,192407,25,1,1,South,0.756,0
28,671822,0.404,0.428,0,2,10000,8,0,1,West,0.644,1
45,787203,0.27,0.441,1,4,377426,17,0,1,East,0.929,0
55,433312,0.784,0.528,0,3,73303,6,1,1,Central,0.604,1
45,561692,0.857,0.58,1,4,10000,10,1,0,Central,0.716,0
42,393967,0.302,0.652,5,6,712667,29,1,0,West,0.638,0
29,287814,0.203,0.266,0,5,400933,14,0,0,West,0.666,0
39,683387,0.196,0.768,1,11,214825,4,1,0,North,0.819,0
32,646378,0.405,0.784,1,2,17488,28,1,0,West,0.793,0
35,771913,0.289,0.432,0,8,122870,11,0,1,East,0.423,0
54,736527,0.448,0.56,1,3,175494,21,1,1,South,0.541,0
51,660661,0.283,0.735,0,3,191272,1,0,0,West,0.82,0
50,739154,0.315,0.854,0,5,235468,3,1,0,South,0.499,0
38,589329,0.5,0.582,2,11,63798,6,0,0,West,0.543,0
68,703222,0.482,0.185,1,11,125303,28,1,1,West,0.747,0
25,418463,0.43,0.939,1,10,10000,12,0,0,West,0.841,0
37,692426,0.744,0.373,0,1,10000,26,0,0,South,0.822,0
26,767104,0.294,0.288,0,5,10000,1,0,0,North,0.454,0
37,432579,0.327,0.524,1,9,178043,20,1,1,West,0.655,0
68,612958,0.115,0.556,0,8,238406,17,0,1,South,0.638,0
38,444099,0.362,0.238,1,4,393063,9,0,1,Central,0.605,1
65,468373,0.265,0.233,3,2,383046,12,0,0,Central,0.459,0
45,318767,0.153,0.723,0,6,424755,9,1,1,Central,0.901,0
55,916443,0.504,0.777,0,11,239006,12,1,1,South,0.678,0
43,866421,0.411,0.207,3,4,431074,15,1,1,Central,0.549,0
34,734358,0.939,0.147,0,2,10000,22,0,0,North,0.749,0
58,1093048,0.703,0.591,0,9,420751,25,0,0,East,0.67,0
68,552688,0.047,0.308,0,10,292039,11,1,1,Central,0.821,0
33,1357940,0.464,0.211,0,9,492339,25,1,1,North,0.622,0
59,543117,0.295,0.604,1,6,10000,2,0,0,West,0.63,0
33,663798,0.066,0.384,1,6,482417,12,0,0,East,0.7,0
56,500555,0.193,0.314,1,9,10000,20,1,1,North,0.799,0
59,693081,0.292,0.459,1,1,523835,25,1,1,South,0.549,0
43,808903,0.736,0.526,0,4,131385,20,0,0,North,0.486,0
57,571520,0.279,0.415,1,1,383087,13,0,1,West,0.773,0
34,1044179,0.219,0.515,1,6,282763,15,1,1,West,0.739,0
24,659787,0.066,0.683,1,11,502969,12,0,1,Central,0.704,0
25,667621,0.156,0.908,2,7,330239,0,0,1,West,0.709,0
42,372750,0.291,0.59,0,1,614066,23,0,1,West,0.701,0
65,704624,0.454,0.667,1,5,155990,28,0,0,South,0.899,0
27,566493,0.107,0.526,0,7,93016,13,0,1,North,0.728,0
43,447940,0.336,0.709,0,6,169287,9,0,0,South,0.668,0
55,405881,0.497,0.574,2,6,426665,24,0,0,North,0.541,0
30,1267940,0.12,0.216,0,11,434954,9,1,0,West,0.639,0
56,534130,0.451,0.858,0,3,42579,23,1,0,South,0.78,0
35,235753,0.331,0.262,1,5,130390,5,1,1,West,0.808,0
60,425444,0.284,0.419,0,5,357681,0,1,0,Central,0.478,0
49,587108,0.213,0.736,0,2,549077,19,0,1,South,0.83,1
47,736666,0.216,0.83,0,11,159536,25,1,1,South,0.679,1
29,738699,0.65,0.511,1,6,14693,17,0,1,South,1.0,1
43,769153,0.396,0.479,1,6,500632,14,0,1,West,0.88,0
62,438784,0.73,0.523,1,10,10000,26,1,1,South,0.669,0
21,685110,0.42,0.286,0,4,407989,19,0,1,South,0.521,1
58,380985,0.179,0.227,2,3,10000,18,1,1,East,0.541,0
45,445089,0.555,0.563,1,10,275923,0,0,1,South,0.616,0
56,370572,0.488,0.175,1,4,229354,8,0,0,South,0.965,0
53,302902,0.685,0.297,2,5,143508,3,1,1,South,0.649,0
42,866052,0.358,0.361,1,3,587903,23,0,0,South,0.727,0
36,772152,0.665,0.323,1,3,283333,4,1,0,East,0.673,0
51,844166,0.201,0.729,1,5,266354,8,1,0,South,0.665,0
27,609828,0.166,0.655,1,3,248636,10,0,0,West,0.632,0
49,794201,0.47,0.205,1,6,146399,26,0,0,South,0.914,0
25,159677,0.226,0.417,1,9,665530,15,0,0,East,0.824,1
52,815771,0.65,0.51,3,4,224625,3,0,1,West,0.48,0
51,644279,0.118,0.099,0,4,670954,6,1,0,South,0.446,0
25,756777,0.115,0.652,1,3,134886,12,1,0,South,0.816,0
58,695005,0.253,0.695,5,5,303642,13,1,0,East,0.856,0
41,353236,0.098,0.666,1,4,204360,29,1,1,East,0.556,1
59,225490,0.364,0.8,2,5,139301,24,0,0,Central,0.63,0
23,421986,0.23,0.459,0,5,262200,22,0,0,West,0.86,0
29,741229,0.099,0.201,1,7,632946,29,0,1,South,0.791,0
45,772522,0.023,0.576,1,6,557522,10,0,1,North,0.696,1
30,258014,0.217,0.376,0,3,304901,15,0,1,South,0.781,1
37,354725,0.007,0.393,1,8,26658,22,0,1,South,0.658,0
53,419191,0.184,0.254,1,7,364393,25,1,1,North,0.635,0
28,510673,0.447,0.353,3,9,194203,0,0,0,South,0.856,0
54,259487,0.456,0.589,1,9,106981,10,1,0,West,0.597,0
26,244487,0.568,0.744,1,10,427733,0,1,1,East,0.626,1
29,394541,0.303,0.406,0,8,43860,3,0,1,North,0.951,0
49,621563,0.486,0.293,0,3,320773,12,0,1,North,0.568,0
59,304851,0.109,0.824,0,2,389308,14,1,1,South,0.947,0
29,571049,0.375,0.23,1,7,431788,28,0,1,North,0.723,0
35,864638,0.464,0.446,0,2,43474,10,0,0,South,0.697,0
66,274555,0.214,0.426,0,3,634380,17,1,1,South,0.775,1
69,548388,0.497,0.199,1,8,353329,22,1,0,South,0.823,0
49,856189,0.285,0.921,2,7,294623,3,1,0,East,0.901,0
42,495432,0.309,0.193,0,2,29424,20,1,0,East,0.663,0
37,456582,0.05,0.51,1,11,129695,17,0,1,South,0.764,0
51,890873,0.501,0.341,3,2,222822,23,1,0,East,0.63,0
49,523449,0.513,0.462,0,10,288514,27,1,1,East,0.615,0
35,876123,0.273,0.705,1,9,362839,13,1,0,South,0.715,0
22,707241,0.584,0.709,0,7,223376,17,1,1,South,0.807,0
28,514288,0.172,0.462,1,4,583613,4,0,1,East,0.558,0
67,719922,0.522,0.09,3,4,218237,8,1,0,South,0.457,0
41,680112,0.221,0.803,1,7,332676,11,1,1,North,0.543,0
44,855220,0.478,0.806,0,2,521357,29,0,0,North,0.625,0
43,462913,0.175,0.535,0,9,184128,16,1,0,South,0.89,1
59,610301,0.196,0.529,0,5,20574,28,1,0,Central,0.57,0
24,584621,0.087,0.485,2,6,211054,8,0,1,South,0.771,0
25,776037,0.246,0.505,0,5,476474,14,0,0,South,0.867,0
34,343705,0.74,0.494,2,2,307669,9,0,0,East,0.581,0
44,854244,0.079,0.89,0,8,429225,25,1,0,North,0.901,1
53,716582,0.066,0.511,1,8,31472,18,1,0,West,0.783,0
45,270768,0.606,0.629,2,2,10000,9,1,1,Central,0.551,0
42,902065,0.572,0.721,0,4,410113,4,0,0,East,0.637,1
66,1158523,0.264,0.323,1,1,364121,6,0,0,North,0.578,0
28,850458,0.068,0.141,1,4,111137,27,1,0,Central,0.658,0
49,956746,0.172,0.355,0,8,65004,13,0,0,North,0.756,0
47,621342,0.222,0.295,1,7,261274,22,1,1,North,0.598,0
44,184623,0.312,0.857,0,7,285252,26,1,0,West,0.751,1
60,138969,0.316,0.418,0,7,50401,18,1,0,West,0.723,0
34,663770,0.104,0.637,0,4,280416,22,0,0,South,0.537,0
67,452005,0.585,0.615,0,5,10000,9,1,0,East,0.752,0
37,371355,0.257,0.477,0,9,167007,29,1,0,Central,0.857,0
47,584313,0.198,0.819,1,8,31525,15,0,0,West,0.66,1
46,753896,0.189,0.918,3,5,272682,23,0,0,South,0.807,0
62,236810,0.083,0.235,3,9,166515,16,1,1,South,0.543,0
42,487780,0.577,0.606,2,9,564482,23,0,0,Central,0.927,1
34,977467,0.112,0.101,0,5,355536,29,1,0,South,0.787,0
22,331177,0.279,0.483,0,10,32082,25,0,1,West,0.802,0
38,817440,0.53,0.575,2,2,476783,9,0,1,North,0.597,0
61,478817,0.087,0.19,0,9,255010,1,1,0,North,0.803,0
21,736448,0.291,0.433,0,7,445734,13,1,1,North,0.759,1
64,874331,0.339,0.209,1,11,35800,21,0,0,South,0.808,0
47,785320,0.277,0.272,1,3,414694,25,0,0,West,0.892,0
27,827289,0.397,0.847,0,1,704477,2,0,0,North,0.624,1
35,312101,0.172,0.818,0,1,411314,16,1,0,West,0.892,0
48,878414,0.261,0.883,0,2,175951,14,1,0,East,0.811,1
36,386826,0.447,0.636,1,6,524533,17,0,1,South,0.521,0
26,664885,0.41,0.608,4,9,157806,14,1,0,East,0.945,0
53,664561,0.265,0.455,1,10,391229,25,0,0,East,0.619,0
53,721280,0.367,0.157,3,9,743967,22,0,0,South,0.729,0
26,684239,0.133,0.892,2,4,178992,5,1,1,West,0.736,0
34,389047,0.338,0.28,0,5,397166,28,1,1,North,0.556,0
32,262533,0.305,0.663,0,1,695903,19,1,1,North,0.829,0
53,818087,0.896,0.669,1,6,491672,5,0,1,East,0.634,1
56,646458,0.1,0.702,0,9,437570,16,0,0,South,0.508,1
56,887344,0.515,0.698,1,3,10000,27,1,0,North,0.576,0
66,588816,0.445,0.304,2,6,102335,6,0,0,East,0.427,0
58,248708,0.055,0.361,0,4,468296,21,1,1,West,0.499,0
36,841532,0.323,0.112,0,10,232954,23,0,0,East,0.848,0
26,507407,0.581,0.173,0,1,196035,18,1,0,South,0.47,0
51,685500,0.355,0.225,0,8,530230,15,0,0,East,0.751,0
65,438135,0.621,0.33,1,1,427224,22,0,0,South,0.612,0
68,1011075,0.441,0.671,2,5,130519,13,0,1,East,0.862,0
32,380858,0.285,0.449,1,8,447217,6,0,1,South,0.696,0
32,515642,0.027,0.726,0,6,102484,1,0,0,West,0.519,0
22,626862,0.487,0.495,0,7,10000,1,1,1,Central,0.787,0
27,326954,0.451,0.305,0,8,357711,18,0,1,West,0.642,0
48,682629,0.771,0.443,1,8,46100,6,1,0,East,0.8,0
47,1002977,0.638,0.39,0,1,42668,7,1,0,North,0.748,0
39,477384,0.229,0.677,1,5,89383,10,1,0,North,0.541,0
36,698785,0.491,0.347,0,6,325934,18,0,0,North,0.68,0
61,120000,0.363,0.286,0,9,449889,12,1,1,South,0.614,0
43,590267,0.21,0.513,2,7,233827,24,1,0,South,0.66,0
60,521739,0.318,0.134,1,5,51364,3,1,0,North,0.678,0
68,395375,0.397,0.786,0,9,66783,3,1,1,South,0.46,1
36,870362,0.214,0.565,0,4,10000,22,0,1,Central,0.744,1
30,518439,0.475,0.809,1,10,435162,10,1,1,South,0.649,0
67,555630,0.336,0.598,0,7,111126,16,0,0,East,0.508,0
52,505701,0.644,0.506,1,9,336752,18,0,1,Central,0.525,0
35,120796,0.308,0.609,0,7,10000,19,1,1,North,0.438,0
51,317003,0.108,0.218,1,9,545339,22,0,0,South,0.991,0
46,840273,0.39,0.504,1,8,288570,2,1,1,East,0.694,0
65,120000,0.458,0.216,2,6,10000,7,1,1,West,0.754,0
33,408421,0.234,0.778,1,6,169941,15,0,1,West,0.915,0
69,500069,0.362,0.396,4,6,327359,4,0,0,East,1.0,0
66,1035905,0.138,0.297,1,11,113728,26,1,0,North,0.592,0
29,792150,0.257,0.378,1,7,363425,9,1,0,South,0.621,0
29,460707,0.202,0.144,0,6,546375,25,0,0,East,0.548,0
47,926128,0.301,0.225,0,4,473496,14,1,1,North,0.676,0
23,414871,0.403,0.705,1,1,285636,21,1,0,North,0.428,0
35,852274,0.744,0.4,2,2,576212,29,1,1,West,0.895,0
42,260280,0.092,0.252,2,7,329462,18,1,0,West,0.774,0
68,868314,0.805,0.644,4,1,265035,8,1,1,South,0.668,1
69,498466,0.288,0.805,0,9,270316,27,1,1,South,0.48,1
28,342873,0.192,0.288,0,4,307808,4,0,0,Central,0.915,0
64,545714,0.593,0.824,0,6,377161,3,0,1,East,0.633,1
25,669336,0.657,0.278,2,7,111220,1,0,1,West,0.96,0
57,476312,0.728,0.296,2,4,516727,1,0,1,East,0.654,1
62,738488,0.722,0.545,2,7,549538,9,1,1,South,0.71,0
64,454251,0.072,0.862,0,7,784317,21,1,1,West,0.512,0
31,755093,0.413,0.211,1,4,10000,20,0,0,North,0.881,0
64,710555,0.36,0.424,1,8,297024,10,1,1,East,0.449,0
26,584769,0.557,0.502,0,4,129938,25,1,1,South,0.816,0
46,489654,0.311,0.35,0,7,420038,3,1,1,West,0.907,1
44,637885,0.426,0.944,1,1,535063,11,1,0,East,0.45,0
36,737563,0.171,0.559,0,5,298732,28,1,1,South,0.839,0
22,1115449,0.537,0.161,3,5,229793,27,1,1,West,0.916,0
58,834855,0.02,0.651,2,5,195110,0,0,0,South,0.765,0
37,843997,0.223,0.795,0,10,253507,10,1,0,West,0.788,0
53,1372128,0.147,0.487,0,9,367534,23,1,0,North,0.758,0
41,728989,0.385,0.542,2,8,366248,29,1,0,South,0.71,1
39,721160,0.088,0.425,1,3,591872,12,0,1,East,0.546,0
64,776003,0.124,0.776,1,5,260917,8,0,0,North,0.692,0
25,347758,0.198,0.384,1,5,476053,11,1,1,East,0.655,0
57,489024,0.45,0.251,0,8,116467,16,0,0,West,0.982,0
57,473457,0.395,0.605,1,8,41451,12,0,0,North,0.69,0
39,761903,0.364,0.069,1,2,496569,24,0,0,South,0.695,0
33,556456,0.291,0.778,0,5,378587,10,0,1,West,0.728,0
21,634555,0.662,0.45,0,7,191964,23,1,1,North,0.768,0
66,871863,0.269,0.382,1,5,113655,3,0,0,North,0.584,0
67,815787,0.593,0.8,0,1,202827,28,0,0,South,0.843,0
32,559569,0.2,0.589,1,2,341611,21,1,0,Central,0.688,1
22,432501,0.415,0.218,3,11,329606,20,1,0,East,0.81,0
27,883818,0.215,0.608,0,6,10000,15,1,0,West,0.565,1
24,793472,0.562,0.409,1,2,44408,0,1,1,Central,0.68,0
61,198435,0.467,0.322,1,11,326085,11,1,1,East,0.923,1
64,521711,0.616,0.256,2,11,415848,16,0,1,North,0.999,0
28,641378,0.161,0.821,2,10,141238,15,1,1,North,0.801,0
57,794707,0.233,0.892,2,7,14967,6,1,0,West,0.532,0
29,827525,0.184,0.805,0,9,305819,14,1,1,East,0.424,0
38,670976,0.081,0.792,0,11,10000,19,0,1,South,0.8,0
50,746311,0.121,0.202,2,6,221916,7,0,1,West,0.997,0
56,616034,0.332,0.098,0,11,418724,25,1,0,South,0.642,0
63,431537,0.213,0.318,0,10,250678,4,1,1,East,0.672,0
23,534683,0.329,0.546,2,7,10000,2,0,1,South,0.742,1
30,604747,0.234,0.868,0,11,601201,23,1,1,West,1.0,0
34,591330,0.198,0.227,1,5,301133,16,0,0,East,0.729,0
36,128606,0.374,0.462,0,3,341653,21,1,0,West,0.732,0
69,500629,0.194,0.733,2,11,475609,18,1,1,South,0.645,0
59,614051,0.22,0.321,3,6,263681,5,0,1,South,0.717,0
36,529657,0.099,0.343,1,8,244902,6,1,1,South,0.871,0
68,538294,0.187,0.377,0,10,545397,3,0,1,East,0.604,0
45,721997,0.422,0.35,1,2,136333,8,0,0,North,0.845,0
